age,sexe,nombre_enfants,revenu_mensuel,budget_max,distance_journaliere_km,prefere_electrique,boite_preferee,importance_consommation,importance_performance,importance_confort,importance_prix,min_required_seats,has_children,long_commute,needs_awd,situation_familiale_célibataire,situation_familiale_divorcé(e),situation_familiale_marié(e),carrosserie_berline,carrosserie_cabriolet,carrosserie_citadine,carrosserie_compacte,carrosserie_coupé,carrosserie_minibus,carrosserie_monospace,carrosserie_pick up,carrosserie_suv,carrosserie_utilitaire,energie_diesel,energie_electrique,energie_essence,energie_hybride,usage_autoroute,usage_campagne,usage_désert,usage_montagne,usage_plage,usage_sport,usage_ville
0.9302325581395348,0,0.0,0.029596348595064895,0.0,0.8896551724137931,0,1,0.0,0.0,0.25,0.25,0.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
0.8139534883720929,0,0.5,0.13086578234203394,0.07106828212599903,0.5931034482758621,0,0,0.5,0.5,0.25,0.25,0.5,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0.11627906976744184,1,0.0,0.01233775495649693,0.0,0.3379310344827586,0,1,1.0,0.5,1.0,0.5,0.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
0.046511627906976716,0,1.0,0.3031664527171587,0.16298587325119712,0.12413793103448274,1,1,0.5,0.5,0.25,0.5,1.0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0.8837209302325582,0,0.25,0.07851946940522037,0.06337866162261643,0.4689655172413793,1,1,0.25,0.0,0.5,0.75,0.25,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
0.09302325581395343,0,0.25,0.43360433604336046,0.3329563076189016,0.46206896551724136,1,0,0.25,0.25,1.0,1.0,0.25,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
0.8604651162790697,1,0.25,0.14384538582227926,0.019437060136666504,0.6689655172413793,1,1,0.75,1.0,0.0,0.75,0.25,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
0.7674418604651163,1,0.5,0.03316217372700042,0.0,0.0,1,1,0.5,0.75,0.25,0.75,0.5,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0.37209302325581395,0,0.0,0.1479817429753245,0.08726334713630865,0.19310344827586207,1,1,1.0,0.5,0.75,0.0,0.0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
0.4418604651162791,0,0.0,0.28526601055484235,0.22439420275037064,0.9310344827586207,1,1,0.75,1.0,0.25,0.5,0.0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0.3023255813953488,0,0.25,0.10875766652403365,0.03773878295247346,0.9724137931034483,0,1,0.25,0.0,0.5,0.0,0.25,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0.8604651162790697,0,0.0,0.019398088717729287,0.0,0.22758620689655168,1,1,0.5,0.75,0.25,1.0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0.34883720930232553,1,0.25,0.12558836114676936,0.040171344341632165,0.43448275862068964,0,1,0.0,0.75,0.5,0.0,0.25,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
0.2790697674418604,1,0.0,0.021680216802168015,0.0,0.8551724137931035,1,1,0.0,0.25,0.25,0.75,0.0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0.3023255813953488,1,0.0,0.1137498217087434,0.02287502343097661,0.5172413793103449,1,0,1.0,0.75,0.25,0.25,0.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0.3023255813953488,0,0.5,0.2519612038225645,0.06604127260024198,0.41379310344827586,1,1,0.25,0.0,1.0,0.0,0.5,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
